group, likes, dislikes, comments
Film & Animation,258865,3422,14055
Film & Animation,73362,887,2823
Film & Animation,19493,189,1332
Film & Animation,127927,5422,11052
Film & Animation,117220,876,9311
Film & Animation,50181,1120,4634
Film & Animation,20947,116,1131
Autos & Vehicles,14350,1178,264
Autos & Vehicles,6946,239,20
Autos & Vehicles,15778,324,1288
Music,41361,63,4385
Music,123749,2789,9480
Music,42471,299,2513
Music,40108,368,1855
Music,48822,295,1317
Music,16363,481,11
Music,25956,379,1088
Music,5232407,34827,1127056
Music,747,7,30
Pets & Animals,90669,1047,8004
Pets & Animals,23626,312,4809
Sports,1189,76,107
Sports,26613,479,2904
Sports,9300,255,1780
Sports,30979,143,1247
Sports,39538,1468,10289
Travel & Events,2803,23,182
Gaming,279967,882,25590
People & Blogs,12437,102,573
People & Blogs,20905,463,817
People & Blogs,23863,357,1485
People & Blogs,53323,1050,15397
People & Blogs,26382,113,333
People & Blogs,180981,20673,1313
People & Blogs,218081,2475,8294
Comedy,80854,367,4711
Comedy,48987,513,10089
Comedy,260030,2100,18334
Entertainment,26551,480,880
Entertainment,37376,229,1788
Entertainment,43493,230,3146
Entertainment,58710,515,4031
Entertainment,548,8,117
Entertainment,299111,5039,20316
Entertainment,59944,336,5131
Entertainment,588493,8693,31828
Entertainment,1297682,22626,76812
News & Politics,41717,1359,4909
Howto & Style,22779,115,2220
Education,38586,271,4354
Science & Technology,956607,4386,43936
People & Blogs,22999,641,1389
Entertainment,383835,4687,16328
Music,127507,2321,3337
Music,32092,836,2783
Music,108245,1494,4045
Music,106794,2046,3943
Howto & Style,36915,313,3026
Entertainment,185305,2652,37457
Music,24861,237,815
Music,29267,469,5442
Comedy,23105,108,1088
Entertainment,30823,237,2233
Music,44775,384,2797
Music,122353,4071,8499
Music,100611,1711,2911
Entertainment,242639,663,17851
Howto & Style,128326,676,8062
Sports,36725,701,5005
People & Blogs,87111,1860,7052
People & Blogs,44168,409,2652
Gaming,14288,774,2085
Music,26440,293,1495
Comedy,124183,1678,16460
People & Blogs,4511,69,673
Entertainment,10102,7932,2763
People & Blogs,37533,197,3666
Howto & Style,130147,1425,15773
Music,714287,15174,31039
Science & Technology,544038,15818,33507
Entertainment,206840,2646,14934
Entertainment,394675,5757,27346
People & Blogs,185419,4744,15908
Entertainment,65429,1918,20813
Music,23938,170,1895
Music,289389,1720,25151
People & Blogs,42090,4829,10576
Education,16423,209,1642
People & Blogs,9228,103,7085
Sports,58685,1526,6596
Entertainment,30552,248,868
Comedy,278337,2295,19426
Gaming,32635,508,3197
Entertainment,87367,800,4195
Gaming,67053,7685,5677
Music,26562,3834,5501
People & Blogs,47566,160,3275
Howto & Style,196718,3347,8000
News & Politics,3672,397,4779
Comedy,49542,1541,4099
People & Blogs,31252,854,3283
Sports,98584,1850,6065
Education,76387,1384,1313
Sports,1625,121,251
Entertainment,55024,3880,5796
Music,30019,1086,1367
Education,3441,1788,611
Entertainment,101550,839,9449
Music,128335,2447,7523
News & Politics,11317,831,2835
Entertainment,279004,4056,13270
Entertainment,37832,252,4332
Music,457189,5966,34970
Entertainment,1385555,13131,103914
Music,255168,2390,21025
Music,182122,1464,12199
Gaming,162565,17524,28904
Entertainment,43178,264,1963
Entertainment,1009,290,470
Comedy,45178,315,2468
Comedy,53167,1267,3802
Entertainment,1552,395,375
Travel & Events,40131,687,3290
Science & Technology,7687,302,1603
Entertainment,1361467,24396,79856
Sports,7425,318,1694
Music,29061,4051,5792
Comedy,621903,7322,71657
Entertainment,218027,2867,15188
Entertainment,34775,318,1180
Sports,61540,1638,6940
Entertainment,643497,12926,71873
Music,54862,1447,2790
Music,27162,675,2493
Music,24261,424,4724
Education,31643,202,3602
Entertainment,249673,2179,12110
Howto & Style,23225,147,2236
Music,40732,932,1699
Sports,27498,455,4261
Music,38305,640,2188
Music,98414,3425,7327
Music,31061,251,2273
Music,336422,21878,73425
Howto & Style,102523,512,7046
Sports,1689,124,261
Entertainment,41162,476,5781
Sports,5598,256,773
Travel & Events,27357,405,1009
Sports,1329,64,208
Gaming,467207,5506,34533
News & Politics,1588,124,880
Comedy,113862,995,4724
Entertainment,243193,4349,13087
People & Blogs,64723,1238,5270
Music,14578,134,395
Education,213317,1369,12619
Gaming,7791,233,298
Music,14371,1381,915
Music,20739,140,620
Music,1766000,6493,31075
Entertainment,5841,988,3494
People & Blogs,51809,595,4176
News & Politics,2472,288,250
Gaming,4080,486,652
Sports,0,0,3545
Music,98450,1412,2396
Gaming,76095,853,8651
People & Blogs,29390,293,2558
Gaming,75584,1782,6970
Autos & Vehicles,3033,414,1742
