Keyword,frequency,category_ids
official,1537,"[10, 22, 24, 17, 28, 1, 20, 23, 25, 2, 19]"
video,1354,"[10, 22, 24, 1, 20, 17, 28, 19, 23, 27, 25, 15]"
trailer,558,"[24, 1, 20, 22, 23, 10, 28]"
music,408,"[24, 10, 17, 22, 20, 27, 23, 1, 28]"
minecraft,343,"[20, 1, 24, 22, 10]"
vs,339,"[24, 23, 25, 28, 1, 20, 17, 26, 22, 27, 2, 19, 10]"
highlights,337,"[17, 24, 10, 28, 20, 15]"
shorts,335,"[24, 27, 22, 26, 23, 1, 20, 10, 17, 19, 28, 15, 2]"
mv,285,"[10, 24, 22, 2]"
game,266,"[24, 28, 26, 22, 20, 10, 1, 17, 23, 25]"
ft,258,"[10, 20, 24, 22, 17, 1, 27, 23, 28, 26]"
x,249,"[10, 1, 17, 2, 19, 20, 22, 24, 28, 26]"
oficial,231,"[10, 24, 25]"
us,213,"[20, 23, 10, 24, 22, 1, 27, 25, 17, 28]"
among,183,"[20, 24, 1, 22, 23, 26, 10]"
new,178,"[28, 20, 24, 17, 1, 22, 10, 2, 25, 26, 27, 29, 23]"
bts,176,"[10, 27, 22, 17, 24, 23, 2, 19, 26, 29, 25, 28, 1]"
teaser,174,"[24, 10, 1, 20, 22]"
lil,157,"[10, 20, 22, 24]"
live,149,"[25, 10, 24, 22, 19, 20, 17, 29, 27, 28, 1, 15, 23]"
feat,147,"[10, 22, 24, 20, 27]"
season,140,"[20, 24, 1, 22, 10, 17, 23]"
full,128,"[17, 10, 24, 20, 22, 1, 28, 25]"
el,119,"[10, 24, 17, 25]"
world,118,"[24, 17, 10, 20, 22, 28, 1, 25, 2, 27, 23, 19, 15]"
life,106,"[10, 24, 20, 17, 22, 26, 1, 27, 23, 25]"
days,103,"[24, 20, 10, 22, 15, 17, 1]"
day,100,"[28, 24, 17, 20, 10, 22, 25, 27, 1, 2]"
challenge,93,"[20, 27, 24, 22, 10, 17, 26]"
first,89,"[24, 10, 17, 22, 25, 20, 27, 28, 23, 26, 1, 15]"
worlds,88,"[24, 20, 28, 25, 22, 17, 2, 27, 26, 1, 10]"
show,88,"[17, 23, 22, 10, 24, 20, 26, 25, 1, 2]"
la,87,"[10, 24, 17, 22, 23, 25]"
survived,86,"[24, 20, 22]"
theory,84,"[20, 1, 26, 27]"
one,83,"[22, 24, 23, 10, 25, 1, 27, 17, 28, 20]"
part,82,"[22, 17, 20, 1, 24, 10, 27, 28, 23, 26, 15]"
house,79,"[24, 20, 1, 22, 10, 25, 23, 26, 15]"
every,79,"[24, 20, 1, 28, 10, 22, 27, 23, 17]"
last,77,"[24, 10, 23, 1, 27, 20, 26, 22, 17, 2]"
week,76,"[10, 24, 20, 1, 17, 22]"
animation,75,"[20, 1, 10, 23, 22, 24]"
mod,75,"[20, 23, 10, 24]"
people,74,"[24, 10, 20, 27, 23, 25, 22, 17]"
baby,72,"[10, 20, 22, 24, 15, 23]"
de,72,"[10, 22, 1, 17, 24]"
best,70,"[24, 22, 20, 17, 23, 15, 26, 10]"
night,70,"[1, 10, 17, 20, 24, 23, 22]"
방탄소년단,68,"[10, 29, 24]"
dream,68,"[10, 20, 22, 24, 27, 23, 17]"
clash,68,"[20, 10, 24]"
g,67,"[10, 24]"
audio,67,"[10, 28, 20, 22]"
remix,66,"[10, 22, 24]"
apple,66,"[17, 28, 24, 22, 27, 23, 26, 10]"
nba,66,"[10, 17, 20, 23]"
time,65,"[24, 26, 10, 1, 17, 22, 20, 28, 23, 27, 25]"
man,64,"[22, 1, 10, 24, 27, 17, 25, 19, 20, 23, 28]"
real,64,"[24, 10, 27, 17, 20, 1, 28, 23, 25, 22]"
disney,62,"[24, 10, 1, 22, 19]"
lyric,62,"[10, 20, 24, 22]"
hours,61,"[24, 26, 22, 10, 20, 19, 1, 27]"
black,61,"[10, 24, 1, 26, 27, 23, 25, 20, 28, 22]"
things,60,"[24, 23, 22, 10, 27, 2, 20]"
got,59,"[24, 22, 28, 17, 1, 20, 27, 10, 23, 26, 15, 25]"
netflix,58,"[24, 23]"
sidemen,57,"[24, 10, 22]"
performance,57,"[10, 24, 22, 17]"
fortnite,57,"[20, 24, 10, 22]"
hbo,57,"[1, 23, 24, 22, 10]"
bad,57,"[10, 24, 22, 27, 1, 23, 28, 17]"
love,56,"[10, 24, 28, 22, 1, 26, 23]"
im,55,"[24, 20, 10, 2, 22, 15, 27, 23, 28, 26, 1, 17, 25]"
like,55,"[10, 20, 22, 1, 24, 23, 15, 27, 28, 26]"
iphone,55,"[17, 28, 24, 26, 22, 27, 20, 23]"
final,55,"[24, 28, 1, 10, 25, 22, 17, 27, 20, 23, 2]"
cup,55,"[17, 10, 22, 25, 24, 23, 20]"
legends,53,"[20, 17]"
never,53,"[24, 28, 10, 22, 19, 27, 1, 20, 17]"
hd,53,"[24, 1]"
wins,52,"[24, 17, 20, 25, 26, 10, 23]"
grand,51,"[20, 17, 24, 22]"
episode,51,"[1, 24, 10, 22, 26, 17, 20, 23]"
brawl,51,[20]
dance,50,"[10, 23, 24, 1, 29, 22]"
durk,50,"[10, 24]"
studios,50,"[24, 1, 22]"
city,50,"[25, 1, 17, 24, 10, 22, 20, 27]"
made,50,"[1, 20, 24, 28, 23, 10, 27, 22, 26]"
john,49,"[1, 10, 20, 23, 24, 17, 22]"
friday,47,"[1, 20, 26, 23, 22, 24, 10]"
win,47,"[17, 24, 20, 10, 22]"
chapter,47,"[1, 22, 20, 24]"
hardcore,47,[20]
secret,47,"[24, 27, 28, 23, 20, 1, 25, 17, 22, 19]"
make,47,"[10, 26, 24, 20, 28, 23, 27, 17, 2, 22]"
super,46,"[17, 24, 10, 20, 23, 1, 22]"
big,46,"[28, 26, 27, 17, 24, 10, 1, 22, 25, 20, 2]"
friends,46,"[24, 1, 22, 26, 20, 10, 15, 27]"
youngboy,46,"[10, 22]"
get,45,"[23, 24, 20, 10, 26, 22, 27, 1, 28]"
snl,45,"[24, 23, 10]"
league,45,"[20, 23, 24, 1, 17, 10]"
home,44,"[24, 28, 10, 23, 20, 22, 1, 25]"
king,44,"[1, 24, 10, 17, 25, 20]"
funkin,44,"[1, 20, 23, 24, 10]"
song,43,"[10, 24, 20, 1, 26, 22, 29]"
talk,43,"[10, 20, 23, 28, 24, 26]"
food,43,"[22, 24, 19, 23, 26, 20, 1, 15, 27]"
hot,43,"[10, 24, 17, 26, 2]"
tonight,43,"[22, 23, 10, 24]"
prix,43,[17]
ever,43,"[10, 28, 23, 22, 24, 20, 17, 27]"
dont,43,"[10, 20, 24, 1, 27, 25, 22, 23, 28]"
cant,42,"[10, 24, 20, 23, 17, 22, 28, 27]"
clans,42,[20]
star,42,"[20, 22, 24, 10, 17, 27, 1, 23, 26, 19]"
movie,42,"[1, 24, 10, 22, 23]"
battle,42,"[25, 20, 17, 24, 22, 1, 2]"
twice,41,"[10, 17, 20, 24, 1]"
race,41,"[17, 2, 24, 20, 23, 10, 25]"
blackpink,40,"[10, 24, 22, 26]"
film,40,"[10, 24, 28, 1]"
reveal,39,"[20, 24, 22, 25, 23, 26, 17]"
squid,39,"[24, 20, 1, 23, 22, 28]"
india,39,"[17, 25, 22, 24, 19]"
j,39,"[17, 10, 24]"
harry,39,"[10, 1, 24, 25, 20, 17, 22]"
marvel,39,[24]
anuel,38,"[10, 24]"
kids,38,"[24, 10, 22, 20, 15]"
tik,38,[24]
towers,38,"[10, 20]"
christmas,38,"[24, 10, 22, 23, 17, 27, 1, 20]"
v,38,"[17, 20, 10, 2]"
myke,37,[10]
pro,37,"[17, 28, 24, 22, 26, 20]"
family,37,"[22, 10, 25, 24, 20, 1, 26]"
max,37,"[1, 23, 28, 10, 24, 20, 22]"
tv,36,"[22, 23, 24, 20, 17, 10]"
aa,36,"[10, 24]"
cat,36,"[10, 22, 24, 26, 15, 20]"
nfl,36,"[28, 17]"
story,36,"[20, 10, 23, 22, 1, 24, 19]"
open,36,"[10, 24, 20, 17, 26, 23, 29]"
alfa,36,[10]
back,36,"[10, 20, 1, 22, 24, 28, 17, 23]"
justin,36,"[10, 17, 24, 22]"
top,36,"[1, 24, 17, 10, 25, 23, 20, 2, 28, 15, 22]"
awards,36,"[10, 17, 20, 1, 24, 22]"
damelio,35,"[22, 10, 24, 20, 17]"
chris,35,"[25, 10, 24, 23, 22, 1, 17]"
update,35,"[20, 24, 22, 23, 25]"
watch,35,"[25, 28, 20, 24, 10, 1, 27, 17]"
warriors,35,"[17, 20, 23]"
red,35,"[10, 22, 1, 24, 26, 28, 23, 17, 20]"
stars,35,"[20, 24, 17, 1, 25, 10]"
inside,35,"[22, 10, 24, 27, 25, 23, 17, 20]"
fnaf,35,"[1, 20, 24]"
insane,34,"[24, 20, 17, 22, 10, 23, 28]"
stray,34,"[10, 22, 24, 20]"
ariana,34,"[10, 24, 22, 20]"
ice,34,"[10, 24, 22, 20, 28, 27, 25, 26, 23]"
savage,34,"[10, 24, 22]"
gameplay,33,"[20, 22]"
series,33,"[17, 28, 24, 20, 26, 10, 1]"
